timestamp;open;low;high;close;volume
12/20/2021;4420;4200;4420;4390;69700
12/21/2021;4390;4230;4420;4280;58200
12/22/2021;4280;4150;4370;4170;48300
12/23/2021;4170;4020;4250;4020;29000
12/24/2021;4170;4170;4350;4320;77500
12/27/2021;4320;4260;4320;4300;26200
12/28/2021;4300;4280;4340;4320;31000
12/29/2021;4320;4250;4340;4250;45100
12/30/2021;4310;4230;4310;4300;108100
12/31/2021;4310;4230;4310;4300;0
1/3/2022;4300;4250;4340;4340;30900
1/4/2022;4340;4040;4400;4390;100200
1/5/2022;4380;4300;4400;4400;33900
1/6/2022;4390;4300;4410;4390;41400
1/7/2022;4380;4350;4390;4390;30500
1/10/2022;4380;4350;4400;4390;29000
1/11/2022;4390;4350;4400;4400;34300
1/12/2022;4390;4360;4400;4390;40000
1/13/2022;4110;4090;4450;4450;26000
1/14/2022;4440;4440;4770;4770;67700
1/17/2022;4800;4700;4900;4870;74200
1/18/2022;4880;4800;4920;4910;45200
1/19/2022;4900;4900;6000;5200;103500
1/20/2022;5175;5175;5525;5475;90200
1/21/2022;5475;5100;5500;5400;34600
1/24/2022;5400;5350;5525;5500;29000
1/25/2022;5525;5125;5600;5500;61300
1/26/2022;5450;5225;5450;5400;23600
1/27/2022;5400;5200;5500;5375;46400
1/28/2022;5350;5225;5425;5425;20900
1/31/2022;5375;5050;5375;5200;33100
2/1/2022;5375;5050;5375;5200;0
2/2/2022;5200;5100;5350;5300;32200
2/3/2022;5100;5100;5300;5275;14000
2/4/2022;5100;5075;5300;5200;21300
2/7/2022;5200;4840;5300;5250;51800
2/8/2022;5250;4890;5250;5200;54500
2/9/2022;5000;5000;5150;5125;14700
2/10/2022;5100;5000;5125;5125;25800
2/11/2022;5100;5100;5200;5175;9600
2/14/2022;5175;5100;5175;5125;29400
2/15/2022;5125;5000;5250;5200;64000
2/16/2022;5200;5100;5250;5250;13800
2/17/2022;5200;5150;5950;5300;70000
2/18/2022;5375;4940;5375;5350;40000
2/21/2022;5325;5200;5350;5350;17500
2/22/2022;5325;5100;5425;5425;34700
2/23/2022;5400;5325;5400;5375;9500
2/24/2022;5375;5250;5400;5300;22100
2/25/2022;5375;5300;5375;5300;12100
2/28/2022;5375;5300;5375;5300;0
3/1/2022;5275;5225;5375;5350;11400
3/2/2022;5350;5250;5350;5350;12400
3/3/2022;5350;5250;5350;5350;0
3/4/2022;5300;5200;5400;5375;7900
3/7/2022;5375;5200;5375;5350;24300
3/8/2022;5300;5250;5350;5350;13800
3/9/2022;5225;5225;5375;5350;23800
3/10/2022;5250;5000;5350;5300;11900
3/11/2022;5325;5325;5400;5400;31400
3/14/2022;5350;5300;5375;5375;31100
3/15/2022;5375;5300;5400;5375;23000
3/16/2022;5250;5250;5350;5350;7200
3/17/2022;5350;5350;5375;5350;14500
3/18/2022;5350;5300;5350;5350;8600
3/21/2022;5350;5300;5350;5350;11200
3/22/2022;5350;5300;5350;5325;14400
3/23/2022;5325;5300;5325;5325;5400
